f,i0,i1,i2
828,3661,3676,3677
829,2092,2091,4845
830,6175,2570,6179
831,2098,2106,4850
832,4083,1500,4741
833,2161,359,2568
834,2469,515,2477
835,2019,306,2029
836,901,3192,4065
837,2946,790,2966
838,64,1595,1596
839,2163,324,2167
840,3348,979,3392
841,2896,747,2950
842,2930,2965,5185
843,3215,3204,3220
844,1448,119,1751
845,1751,119,1797
846,1869,1874,4766
847,6692,6137,6693
848,1522,1517,5972
849,3315,4407,5873
850,6069,6487,6663
851,564,2516,5030
852,564,5030,5034
853,3078,836,3079
854,3627,3626,4500
855,2445,494,2493
856,494,2486,2493
857,533,2439,2478
858,1951,199,4784
859,3580,3589,6426
860,2803,715,2830
861,3083,5760,6571
862,1939,272,1940
863,2839,4076,5134
864,5276,3156,6302
865,853,3054,3972
866,2775,726,2817
867,458,2433,2442
868,2821,688,2822
869,3862,3829,6521
870,200,4760,6030
871,2147,2130,4862
872,3256,5317,6787
873,1284,1357,3378
874,5001,2534,5011
875,1508,4111,5775
876,5248,6768,6959
877,1999,272,2037
878,2669,693,2684
879,2684,693,3890
880,709,1333,4293
881,393,2283,2284
882,535,4270,5007
883,200,6030,6031
884,350,2209,4887
885,1817,183,1866
886,308,2020,2031
887,1561,1562,5975
888,3978,1211,3981
889,3854,3865,6511
890,2431,4969,4988
891,3881,5664,6039
892,4214,2185,4869
893,1719,1295,3226
894,1247,1229,4610
895,620,643,1387
896,643,620,2674
897,5581,1149,5588
898,3930,1392,3939
899,170,1328,1506
900,189,1907,4771
901,4526,5534,6620
902,2594,595,7061
903,970,3356,4420
904,1756,1766,4148
905,1488,368,2195
906,2925,2987,6243
907,53,1622,4662
908,4659,53,4662
909,4248,4253,5803
910,4978,4248,5803
911,187,191,1822
912,1793,176,1860
913,3548,3540,5472
914,2550,2479,6943
915,670,1409,6178
916,885,3148,3155
917,5151,5152,6217
918,460,2421,4984
919,2005,259,2006
920,4201,4587,5793
921,6050,204,6658
922,1581,40,1592
923,40,1581,2055
924,1989,1962,4188
925,1374,1488,3600
926,172,1280,6020
927,5412,3420,6377
928,3784,1144,6624
929,2191,410,2263
